corpusid,openaccessinfo,abstract
17508801,"{'externalids': {'MAG': None, 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","ACKNOWLEDGMENTS This three-year evaluation has been the culmination of the efforts and commitment of numerous people and organizations. We begin by expressing our gratitude to key individuals who played critical roles in this evaluation and then acknowledge all the other individuals and groups who have contributed to the success of this study. First, we acknowledge the critical support from Gilles Bergeron at the Food and Nutrition Technical Assistance (FANTA) Project,)+,, who FRQFHLYHGRIWKLVVWXG\DQGVDZLWWKURXJK from the early stages to the very end. In addition to KLVUROHVDW)$17$IRUFRRUGLQDWLQJWKLV work, Gilles has made substantial intellectual FRQWULEXWLRQVWRWKHHYDOXDWLRQWKURXJKRXWWKH study. In addition, he was instrumental in FRQQHFWLQJWKH,)35,&RUQHOOHYDOXDWLRQJURXSZLWK numerous other organizations and"
52152043,"{'externalids': {'MAG': '2981580859', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Paroxysmal dyskinesias refer to category of abnormal involuntary movements, such as chorea, dystonia, athetosis, ballism or their various configurations. Depending on the type of seizure, sudden movement, stress, emotions, coffee or alcohol may be the trigger factors. Acute seizures are characterized by short duration and are self-limitated. Patients present correct portray of movements between seizures. Intact consciousness during seizure is the invariable characteristic of all paroxysmal dyskinesias. The intent of this work is to systematize knowledge about paroxysmal dyskinesias. This research includes synthetic information developed based on specialistic literature cencerned with paroxysmal movement disorders. The authors focused primarily on characteristics of the most important issues in this area, into which types of disorders, their causes and treament as well as psychopathology aspect having crucial influence on patients' life comfort were included. The essence of three categories of seizures were put across more extesively: paroxysmal kinesigenic dyskinesia, proxysmal non-kinesigenic dyskinesia and paroxysmal exercise-induced dyskinesia. Primary dyskinesias with genetic basis and secondary to other diseases, such as multiple sclerosis were distinguished. Modes of pharmacological treatment with antiepileptic drug and benzodiazepines were described. Special concern was put on holistic approach to problem of diagnosis and treatment of analyzed movement disorders."
53354419,"{'externalids': {'MAG': None, 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Abnormal patterns of the retinal vascular system have been associated with several heart and cerebral diseases. However, these correlations were obtained using 2D imaging of the eye fundus, disregarding information on the third component (depth) of the vascular system. In this paper, we show that the depth component is relevant and should not be disregarded in this analysis. In this way, the relevance of the analysis of the retinal vascular network as a biometrical marker for the general health status of the individual can be increased."
43776164,"{'externalids': {'MAG': None, 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Several prospectively randomized trials have shown that the administration of prophylactic oral nonabsorbable antibiotics may be beneficial in decreasing the incidence of infection in granulocytopenic patients, whereas others have not. Intolerable nausea and vomiting have prevented the prolonged use of these agents in some studies. Discontinuation of therapy while patients are still granulocytopenic has carried the risk of life-threatening infections, often with aminoglycoside-resistant gram-negative organisms. The benefit of selective decontamination with trimethoprim/sulfamethoxazole used prophylactically remains controversial. The use of trimethoprim/sulfamethoxazole may also be associated with the development of resistant, potentially pathogenic, organisms or prolonged neutropenia. These regimens do not appear to be indicated when patients are anticipated to be neutropenic for less than three weeks. Even in patients with prolonged neutropenia, the risks of such treatment must be weighed against potential benefits."
61660245,"{'externalids': {'MAG': '2164926156', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","UNIX Farms at Fermilab have been used for more than three years to solve the problem of providing massive amounts of CPU processing power for event reconstruction. System configurations, parallel processing software, administration and allocation issues, production issues and other experiences and plants are discussed."
130968031,"{'externalids': {'MAG': '2353786933', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Static pressure pile construction technique is applicable to a variety of geological steel sheet pile construction. It successfully solved sand and pebble bed hard geology to the problem of steel sheet pile construction. We expounded the construction principle and the main points of construction operation to overcome the hard geology static pressure pile embedded steel sheet pile, which provide references for similar projects."
132412465,"{'externalids': {'MAG': '2382436842', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","In order to understand the effects of irrigation schemes on soil water content and irrigation amount,a soil water probability model was employed to simulate the characteristics of soil water probabilistic distribution and the changes of average soil water content under traditional and continuous irrigation. The results indicated that there was a significant distinction of soil water probabilistic distribution for different irrigation schemes,and the maximum value of probability density function of soil water appeared at s = s*for continuous irrigation,but s = sfcfor traditional irrigation. Compared to traditional irrigation,continuous irrigation kept the soil water content at a lower level,thus reducing leakage losses and surface runoff by storing more water into the soil when rainfall happened. Therefore,continuous irrigation could significantly increase the use efficiency of agricultural water resources by improving the utilization rate of rainwater and reducing the amount of irrigation water."
132377986,"{'externalids': {'MAG': '2587899155', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","This research was supported by one Ramon y Cajal grant (JB), and projects CGL2004-0780, CGL2005-01712BTE, GIU 05/49 and 9/upv00121.310-15303/2003"
124830386,"{'externalids': {'MAG': '2267312952', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","A semiconductor counter telescope in a bremsstrahlung beam has been used to measure photoproton spectra from /sup 12/C. The bremsstrahlung maximum energy took on the following values: 21.7, 23.4, 25.0, 26.6, 28.2, 29.6, and 31.0 MeV. The photoprotons were detected at an angle 90/sup 0/. From the measured spectra we obtained the energy dependence of the cross sections for the reaction /sup 12/C(..gamma..,p) /sup 11/B with formation of the final nucleus in the ground state and a number of excited states. In the region up to 30.5 MeV the integrated cross section for transitions to the ground state amounts to 73.7% of the total photoproton cross section."
128148033,"{'externalids': {'MAG': '825955973', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Indonesia merupakan negara yang memiliki wilayah yang sangat luas dan kaya akan sumber daya alam. Namun, hal ini juga berarti bahwa Indonesia memiliki resiko bencana yang sangat besar. Indonesia berada pada jalur Ring of Fire, dimana wilayah tersebut merupakan salah satu wilayah yang paling beresiko mengalami bencana 
alam. Dengan jumlah penduduk yang sangat banyak, warga Indonesia sudah seharusnya memiliki keahlian tanggap bencana. Pendidikan tanggap bencana 
merupakan pendidikan yang sebaiknya dipelajari sejak usia dini. Hal ini harus dilakukan mengingat anak-anak menjadi korban paling banyak dalam keadaan 
bencana. Pelatihan tanggap bencana pada anak-anak harus dibuat menyenangkan, sehingga anak-anak tertarik dan tidak terkesan menyeramkan. Dalam membuat program ini ada dua rumusan masalah yang diambil, bagaimana 
merancang pesan komunikasi visual dan verbal yang efektif untuk menginformasikan program edukasi anak Indonesia tanggap bencana serta bagaimana merancang paket media yang sesuai untuk dipakai dalam menginformasikan program anak Indonesia tanggap bencana. Tujuan dari pembuatan program ini adalah merancang pesan komunikasi visual dan verbal yang efektif untuk program “Anak Indonesia Tanggap 
Bencana” serta merancang paket media yang sesuai untuk dipakai dalam menginformasikan program anak Indonesia tanggap bencana .Metode penelitian yang dipakai dalam membuat program ini adalah studi pustaka pada buku -buku yang berkaitan dengan desain, pendidikan, dan tanggap bencana, memberikan kuesioner pada anak-anak dan orang dewasa di wilayah pilot project, wawancara, serta observasi langsung pada berbagai media di wilayah pilot project. Program ini menjadi jawaban atas kebutuhan pendidikan tanggap bencana yang interaktif bagi anakanak di seluruh In donesia. Program ini menyediakan berbagai media, seperti buku ajar, permainan, panggung boneka, dll. Melalui program ini, 
anak-anak dapat dipersiapkan untuk selalu siaga dan tanggap menghadapi bencana."
