citationid,citingcorpusid,citedcorpusid,isinfluential,contexts,intents
288769716,26841791,18637729.0,False,"['(9)According to Goettler (1999), a typical contract between an advertiser and a TV channel specifies the prices to be paid for an advertising slot and minimum guaranteed ratings.', 'Empirical studies of program diversity, such as Rust and Eechambadi (1989), Rust et al. (1992), Goettler (1999), and Goettler and Shachar (2001), primarily focus on how to estimate the viewers’ demand for TV programs and the implications for TV stations’ program choice; see also Berry and Waldfogel…', '9According to Goettler (1999), a typical contract between an advertiser and a TV channel specifies the prices to be paid for an advertising slot and minimum guaranteed ratings.']","[['background'], ['background'], ['background']]"
2794742022,154747634,143869355.0,False,"['Studies in the developing countries demonstrate that the majority of migrants enter the informal sector for entrepreneurial activities (Rogerson, 1988; Forbes, 1979).', 'Nowadays, a great deal of the self-employment activities in developing countries are to be found in the informal sector (Rogerson, 1988), which has been considered a safety valve for the unemployed in many developing countries.', 'Today, a great deal of self-employment activities in developing countries are found in the informal sector (Rogerson 1988), which has been considered a safety valve for unemployed in many developing countries.']","[['background'], ['background'], ['background']]"
2379000347,23882786,40117588.0,True,"['A previous study, however, detected host antibodies in the X. cheopis gut beginning 3 h after exposure to an immunized host, and the antibodies persisted in the gut for only 48 h after ßeas were removed from the host (Azad and Emala 1987).', 'Other investigators have demonstrated that host antibodies can suppress infection with, or transmission of other pathogens in arthropod vectors (Azad and Emala 1987, Mendis et al. 1987, Fikrig et al. 1992, Gomes-Solecki et al. 2006).', 'Azad and Emala (1987) reported that X. cheopis infected with Rickettsia typhi and subsequently maintained on immunized rats remained infected, but unlike infected ßeas maintained on control rats, they failed to transmit the rickettsiae 19Ð22 d postinfection.']","[['background'], ['background'], ['background']]"
976858821,73541753,,False,"['In the simple, exactly soluble version of the Wigner-Weisskopf model, [11, 12, 14-17] where the interaction has nonvanishing matrix elements only between the undecayed, discrete energy state and continuum energy states of the free decay products (weak coupling approximation), it is well understood in what sense the exponential decay is a first approximation, arising from the presence of a pole on the second sheet of the appropriate matrix element of the resolvent of the full Hamiltonian.', 'Even if self-adjointness and positivity can be solved, the rest of the program is complicated by the fact that • has nonvanishing matrix elements within Yfo, and not just between Yfv and YfD and within YfvThe exact solution of the weak-coupling approximation, where the matrix elements of the interaction within ~vf D are neglected, is well-known, whenever it is well-defined, from either the Wigner-Weisskopf or the Lee model [11, 12, 14-17].']","[['methodology'], ['background']]"
119353281,51737038,137573988.0,False,"['The reported carrier mobility of VLS-grown Ge nanowires is higher than SFLS-synthesized Ge nanowires [13, 14], while the latter method is claimed to provide a better control of the nanowire size and a higher product yield [23, 25].', 'One is the supercritical fluidliquid-solid (SFLS) approach, in which Ge nanowires were produced in highly pressurized supercritical fluids enriched with organogermane precursors and metal nanocrystals as catalyst [22, 23].']","[['methodology'], ['background']]"
1656316813,205879550,5122310.0,False,,
3902392064,251972418,221377390.0,True,"['If we take 𝜉 = 1 in Equation (7) then generalized 𝛾-preinvex turns into traditional 𝛾-preinvex function.', '(13)\nThe conclusion now follows from Equation (11) and Equation (3).', 'If we consider 𝜚𝜉( 𝑗, i) = ( 𝑗 − i)𝜉 in Corollary 11, then Equation (23) turns into following inequality for generalized tgs-convex function;\n1𝜉 ( 𝑗 − i)𝜉 i I𝑗Θ(w)𝜗(w) ≤ M(i, 𝑗)B𝜉(3, 3),+N(i, 𝑗)B𝜉(2, 4).', 'If we consider 𝜚𝜉( 𝑗, i) = ( 𝑗 − i)𝜉 in Corollary 13, then Equation (13) turns into following inequality for generalized s-convex function;\n22s𝜉−𝜉 Γ(1 + 𝜉)\nΘ (\ni + 𝑗 2\n) 𝜗 ( i + 𝑗\n2\n) ≤ 1𝜉\n( 𝑗 − i)𝜉 i I(𝜉)𝑗 Θ(w)𝜗(w) + M(i, 𝑗)B𝜉(s + 1, s + 1) + N(i, 𝑗) Γ(1 + s𝜉) Γ(1 + (s + 1)𝜉) .', '(7) If we reverse the inequality in Equation (7), then Θ is generalized 𝛾-preconcave function with respect to 𝜚.', 'If we consider 𝛾𝜉1 (𝛿) = 𝛾 𝜉 2 (𝛿) = (1 − 𝛿) s𝜉−𝜉 in Theorem 5, then Equation (25) turn into the following inequality for generalized tgs-preinvex function,\n23𝜉 Γ(1 + 𝜉)\nΘ (\n2i + 𝜚( 𝑗, i) 2\n) 𝜗 ( 2i + 𝜚( 𝑗, i)\n2\n) ≤ 1𝜉\n𝜚𝜉( 𝑗, i) i I(𝜉)i+𝜚( 𝑗,i)Θ(w)𝜗(w) + B𝜉(3, 3)[M(i, 𝑗) + N(i, 𝑗)].', 'If we consider 𝛾𝜉1 (𝛿) = 𝛾 𝜉 2 (𝛿) = 𝛿 s𝜉−𝜉 in Theorem 5, then Equation (25) turns into following inequality for generalized s-preinvex function;\n22s𝜉−𝜉 Γ(1 + 𝜉)\nΘ (\n2i + 𝜚( 𝑗, i) 2\n) 𝜗 ( 2i + 𝜚( 𝑗, i)\n2\n) ≤ 1𝜉\n𝜚𝜉( 𝑗, i) i I(𝜉)i+𝜚( 𝑗,i)Θ(w)𝜗(w) + M(i, 𝑗)B𝜉(s + 1, s + 1) + N(i, 𝑗) Γ(1 + s𝜉) Γ(1 + (s + 1)𝜉) .', 'If 𝛾𝜉(𝛿) = 𝛿s𝜉−𝜉 , then Equation (7) turns into generalized s-preinvex function in Sun.44 3.', 'If we consider 𝜚𝜉( 𝑗, i) = ( 𝑗 − i)𝜉 in Corollary 9, then Equation (21) turns into the following inequality for generalized s-convex function;\n1𝜉 ( 𝑗 − i)𝜉 i I𝜉𝑗Θ(w)𝜗(w) ≤ M(i, 𝑗) Γ(1 + 2s𝜉)Γ(1 + (1 + 2s)𝜉) + N(i, 𝑗)B𝜉(2s, 2).', 'If we consider 𝛾𝜉1 (𝛿) = 𝛾 𝜉 2 (𝛿) = (1 − 𝛿) 𝜉 in Theorem 4, then Equation (20) turns into following inequality for generalized tgs-preinvex function;\n1𝜉 𝜚𝜉( 𝑗, i) i I(𝜉)i+𝜚( 𝑗,i)Θ(w)𝜗(w) ≤ M(i, 𝑗)B𝜉(3, 3),+N(i, 𝑗)B𝜉(2, 4).', 'If we consider 𝛾𝜉1 (𝛿) = 𝛾 𝜉 2 (𝛿) = 𝛿 s𝜉−𝜉 in Theorem 4, then Equation (20) turns into the following inequality for generalized s-preinvex function;\n1𝜉 𝜚𝜉( 𝑗, i) i I(𝜉)i+𝜚( 𝑗,i)Θ(w)𝜗(w) ≤ M(i, 𝑗) Γ(1 + 2s𝜉)Γ(1 + (1 + 2s)𝜉) + N(i, 𝑗)B𝜉(2s, 2).', 'If the inequality in Equation (6) is reversed, we say that Θ is generalized h-preconcave with respect to 𝜚(., .).', 'Taking a generalized convex function 𝜗(w) = wr𝜉 from Mo et al47 in Equation (24), where M(i, 𝑗) = Θ(i)𝜗(i) + Θ( 𝑗)𝜗( 𝑗) and N(i, 𝑗) = Θ(i)𝜗( 𝑗) + Θ( 𝑗)𝜗(i) we get the result.', 'If we consider ρ( j, i) = ( j − i) in Corollary 11, then Equation (23) turns into following inequality for generalized tgs-convex function;', 'If 𝛾𝜉(𝛿) = (1 − 𝛿)𝜉 , then Equation (7) turns into generalized tgs-preinvex function.', 'If we consider 𝜚𝜉( 𝑗, i) = ( 𝑗 − i)𝜉 in Corollary 15, then Equation (15) turn into the following inequality for generalized tgs-convex function,\n23𝜉 Γ(1 + 𝜉)\nΘ (\ni + 𝑗 2\n) 𝜗 ( i + 𝑗\n2\n) ≤ 1𝜉\n( 𝑗 − i)𝜉 i I(𝜉)𝑗 Θ(w)𝜗(w) + B𝜉(3, 3)[M(i, 𝑗) + N(i, 𝑗)].']","[None, None, None, None, None, None, None, None, None, None, None, None, None, ['background'], None, None]"
2143344063,149126648,20621762.0,True,"['In the Fukuoka cohort study (>11,000 Japanese participants), neuroticism was mostly associated with higher perception of stress, poorer perceived health, and lower satisfaction with life, but also with BMI and physical activity (Otonari et al. 2012).', '2013), and its documented association with perceived stress (Otonari et al. 2012), which is already evident at the level of the zero-order correlation between neuroticism and the emotional exhaustion subscale of the MBI (Table 2).', '…known emotional core related to negative affectivity (Bowen et al. 2012; Ormel et al. 2013), and its documented association with perceived stress (Otonari et al. 2012), which is already evident at the level of the zero-order correlation between neuroticism and the emotional exhaustion subscale…']","[['background'], ['background'], ['background']]"
2408702455,83166451,25513094.0,False,,
77253139,7488303,20906965.0,True,"['As shown in Table 16, the incorporation of 3H-leucine and 14C-acetate into lipoprotein syntehsezed by thyroxine-treated hepatocytes were 206% and 132% of the control, respectively (Ndiaye and Hayashi 1997b).', 'Thyroxine (10–8 M) increased the amount of intracellular free cholesterol, phospolipid, and triglyceride, and the sum of these lipids was 510 μg (mg-cell protein)–1 corresponding to 143% of the control (Table 14) (Ndiaye and Hayashi 1997b).', '4-3C. Comparison of lipoprotein synthesis by cultured hepatocytes of silver and yellow eels The incorportion of 3H-leucine and 14C-acetate into the lipoprotein synthesized by cultured hepatocytes of silver eels was higher than those of yellow eels (Ndiaye and Hayashi 1997a).', '(Ndiaye and Hayashi 1997a).']","[['background'], ['background'], ['background'], None]"
