conferenceID,conferenceName,issn,url
509eb2ed-f25a-466e-912f-c2ff733a88cb,Studienarchiv Umweltgeschichte,0949-7366,http://www.iugr.hs-nb.de/index.php?id=451
5c71b526-1598-4434-a92b-e43d3f77ceb4,Historikeren,1891-6600,
b832024e-ad6e-4123-8ff0-21595ef6bd85,Argus,0315-9930,http://www.cbpq.qc.ca/publications/argus/argus.html
c982de0b-7111-4ed2-8bb4-4c0e0a66b171,ACI Journal Proceedings,0002-8061,https://www.concrete.org/
8a6faaef-eb92-4dcb-8f9b-065388aee977,Religions,2077-1444,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-190623
3656c155-e0de-49f0-b438-aa75162345df,Ideas / from the National Humanities Center,1068-0454,
7039bd1c-5d23-4c62-8094-08a3cf534e4a,International Conference on Internet Computing,,
1a42084f-2520-4553-b3e3-ecc21580fb36,International and Cultural Psychology,1571-5507,
98d5a930-8884-44eb-8182-92f9b4db4d13,Magna Graecia: rassegna di archeologia storia arte attualita,0024-9955,
92d173c4-1b82-4dc1-b5c6-04812c9531c0,Z Teorii i Praktyki Dydaktycznej Jezyka Polskiego,0208-5011,https://www.ceeol.com/search/journal-detail?id=219
cce4d150-8211-4378-a9ef-a234ec19414c,ACM SIGACT-SIGOPS Symposium on Principles of Distributed Computing,,http://www.podc.org/
a87210f6-84f9-4317-a00c-3286ce4f3dec,Beiträge zur Neueren Geschichte Österreichs,0947-2355,
08b9ee40-e346-4e61-b6bf-f662f4a1a224,TÄ?rÄ«kh-i farhang va tamaddun-i islÄ?mÄ«,2252-0538,http://tarikh.maaref.ac.ir/
fa2ab1bb-9ba2-4d44-856b-d5e08ae7f5d8,CEMOTI,0764-9878,https://journals.openedition.org/cemoti/
09c7f3b6-8e21-427f-8e2e-c057aab16021,MAZOWSZE Studia Regionalne,1689-4774,https://mazowszestudiaregionalne.pl/
052357a7-d8af-4014-9581-ddb0c5287f30,Organisational Studies and Innovation Review (OSIR),2059-2256,http://mbacademy.org.uk/index.php/home
e3ef2d76-c11f-4623-9d64-f1e66949c4c8,Jurnal Akademi Pariwisata Medan,1858-2842,http://ejurnal.poltekparmedan.ac.id/index.php/jiapm
14d8c1cf-1b6f-4b54-a0d7-1a0292ca8818,Revista de investigaciones folclóricas,0327-0734,https://www.equiponaya.com.ar/ifa/publicaciones/rif_index.htm
