venueID,journalName,issn,url
ea0de890-1bc6-4cac-91a7-18d42ca3e82d,Machine Learning Research,2637-5672,http://www.sciencepublishinggroup.com/journal/index?journalid=604
5e9f89e8-3699-4bdf-b62d-2716235bf32d,International Journal of Brain Science,2314-7016,https://www.hindawi.com/
da7dbdc2-5f4b-497e-ab75-d31423708a85,Journal of korean academy of advanced general dentistry,2287-559X,http://kagd.org/board/bbs/board.php?bo_table=sub4_1
13aa0ad1-35bc-4524-8e50-21b28e9f70c9,The Bible Translator,0260-0935,https://journals.sagepub.com/home/tbt
2b2bb9f4-4da3-49b5-a78f-6de69540a54f,Jurnal Sains Sukan & Pendidikan Jasmani,2232-1918,
ed81d769-ad02-4354-890f-586a9e624045,JOSEPHA: Journal of Sport Science And Physical Education,2722-4376,
7e79de3e-93d0-413c-9f0d-e0288f94b4d5,Expert systems,0266-4720,https://onlinelibrary.wiley.com/journal/14680394
16860818-b36c-4902-8cb8-2184d18ccd24,Intereconomics. Review of European Economic Policy,0020-5346,"http://www.springer.com/sgw/cda/frontpage/0,11855,1-40109-70-1170612-0,00.html"
a1492e44-9ab1-4e68-a6c7-3733a33a6044,American Imago,0065-860X,https://muse.jhu.edu/journal/1
2498acbb-0afe-48d5-b314-b74e15a70e1c,Revista Romana de Studii Baltice si Nordice. The Romanian Journal for Baltic and Nordic Studies,2067-225X,https://www.ceeol.com/search/journal-detail?id=102
746fe00c-f7fd-42e2-b493-bef48f27cc15,Faraday Symposia of the Chemical Society,0301-5696,http://xlink.rsc.org/jumptojournal.cfm?journal_code=FS
3f5ce3e7-db27-4a92-b76f-b3ab0718584b,Australian Journal of Entomology,1326-6756,http://www.blackwell-synergy.com/loi/aen
f3141835-d9fc-4749-a789-b420dcdf7f6c,Acta Cirurgica Brasileira,0102-8650,http://www.scielo.br/acb
3b6b270f-0941-4795-bda0-b73760bb2da6,The Internet Journal of Laserneedle Medicine,1937-8173,
a78b5f40-304f-4564-9c8d-8960f24b0c84,Cardiac Cath Lab Director,2150-0134,http://ccl.sagepub.com/
ea002f27-327c-4242-9fd6-e14095af68b8,Comvice : Journal of community service,2615-8507,https://ejournal.stiedewantara.ac.id/index.php/COMVICE
dbb9cd82-354d-4de5-9273-d02b6c8759ac,Khulasah : Islamic Studies Journal,2502-3578,
