corpusid,externalids,url,title,authors,venue,publicationvenueid,year,referencecount,citationcount,influentialcitationcount,isopenaccess,s2fieldsofstudy,publicationtypes,publicationdate,journal,PubMed,PubMedCentral,MAG,ACL,ArXiv,DBLP,DOI
9930113,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '73563253', 'CorpusId': '9930113', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/056ebf1ca5f3eb7b281f7344c99bd14db2212ff5,Red Gold - Raising Cochineal in Oaxaca,"[{'authorId': '144248839', 'name': 'Eric Santiago'}, {'authorId': '113026546', 'name': 'H. Lozano'}]",,,2010,9,1,0,False,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Art', 'source': 'external'}]",,,"{'name': '', 'pages': None, 'volume': ''}",,,73563253,,,,
65325816,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2771927260', 'CorpusId': '65325816', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/cb563e75108895265cb1a78459bb042c547650f6,A method for determining the position of a paper machine body and a measuring apparatus used in the method,"[{'authorId': '72697991', 'name': 'K. Koivisto'}, {'authorId': '2095897249', 'name': 'Vesa Rautiainen'}]",,,2006,0,0,0,False,"[{'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 'external'}]",,2006-09-06,"{'name': '', 'pages': None, 'volume': ''}",,,2771927260,,,,
253618518,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '253618518', 'PubMed': None, 'DOI': '10.1079/cabicompendium.102375', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/d03611df4434a7cf3118e252ff41559dc0c83337,Glugoides,[],CABI Compendium,5749d807-7b13-4dd9-8b3d-38479eabfa96,2022,0,0,0,False,,,2022-01-07,"{'name': 'CABI Compendium', 'pages': None, 'volume': None}",,,,,,,10.1079/cabicompendium.102375
178887072,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2015181790', 'CorpusId': '178887072', 'PubMed': None, 'DOI': '10.1038/nature.2012.10102', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/b4f25a121d0aea581884ee26d55ab8402fbb4774,Indian science adviser caught up in plagiarism row,"[{'authorId': '145831917', 'name': 'K. Jayaraman'}]",Nature,6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,2012,2,6,0,False,"[{'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Materials Science', 'source': 'external'}]",,2012-02-24,"{'name': 'Nature', 'pages': None, 'volume': None}",,,2015181790,,,,10.1038/nature.2012.10102
168917853,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2622851449', 'CorpusId': '168917853', 'PubMed': None, 'DOI': None, 'PubMedCentral': None}",https://www.semanticscholar.org/paper/5ab691f72480bdc3cd878553eb1a184292bd65fb,Il progetto della friche per le periferie residenziali,"[{'authorId': '2717927', 'name': 'Annalisa Metta'}]",,,2013,0,0,0,False,,,,"{'name': '', 'pages': '57-64', 'volume': ''}",,,2622851449,,,,
171679629,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '171679629', 'PubMed': None, 'DOI': '10.1177/0040571X4404729014', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/530f2084152489d22e3b5e638252c951e41d4cbf,Book Review: The Destiny of Man,"[{'authorId': '118397342', 'name': 'R. Fuller'}]",,,1944,0,0,0,False,,['Review'],1944-08-01,"{'name': 'Theology', 'pages': '191 - 192', 'volume': '47'}",,,,,,,10.1177/0040571X4404729014
241084347,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '241084347', 'PubMed': None, 'DOI': '10.1017/9781108868280.002', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/359ec865f928c5f68b04c92518adac45dec5a4e6,Confessional Culture,[],Life after Privacy,,2020,0,0,0,False,,,2020-08-31,"{'name': 'Life after Privacy', 'pages': None, 'volume': None}",,,,,,,10.1017/9781108868280.002
16492375,"{'ACL': None, 'DBLP': None, 'ArXiv': 'hep-ph/9707368', 'MAG': '2041339020', 'CorpusId': '16492375', 'PubMed': None, 'DOI': '10.1016/S0920-5632(97)01110-9', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/5ce5c12546a837f5d460b52ae966fa96941def17,A new look at hadronic B decays,"[{'authorId': '3323425', 'name': 'M. Neubert'}]",,,1997,31,3,0,True,"[{'category': 'Physics', 'source': 's2-fos-model'}, {'category': 'Physics', 'source': 'external'}]",,1997-07-17,"{'name': 'arXiv: High Energy Physics - Phenomenology', 'pages': '474-480', 'volume': '64'}",,,2041339020,,hep-ph/9707368,,10.1016/S0920-5632(97)01110-9
139856224,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2888223114', 'CorpusId': '139856224', 'PubMed': None, 'DOI': '10.31788/rjc.2018.1132098', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/cd74dd1102830d8236b13c50397f2fff0aa53e0b,HIGH PERFORMANCE LIQUID CHROMATOGRAPHY FOR α-MANGOSTIN ANALYSIS IN MANGOSTEEN PERICARP EXTRACT FOR ROUTINE ANALYSIS WITH PHOTODIODE ARRAY DETECTOR,"[{'authorId': '47421326', 'name': 'M. Muchtaridi'}, {'authorId': '2091818716', 'name': 'Moses Prasetio'}, {'authorId': '74317331', 'name': 'N. M. Saptarini'}, {'authorId': '51162569', 'name': 'F. A. Saputri'}]",,,2018,4,2,0,False,"[{'category': 'Chemistry', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Materials Science', 'source': 'external'}]",,,"{'name': '', 'pages': '973-978', 'volume': '11'}",,,2888223114,,,,10.31788/rjc.2018.1132098
195728009,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2951167707', 'CorpusId': '195728009', 'PubMed': None, 'DOI': '10.2174/1874285801913010154', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/18e5c2d26ab0a3a43e7ff92c86332b58730e0aec,Taxonomic and Functional Annotation of Termite Degraded Butea monosperma (Lam.) Kuntze (Flame of the Forest),"[{'authorId': '36922449', 'name': 'Ashwani Kumar'}, {'authorId': '144063337', 'name': 'Preeti Vyas'}, {'authorId': '46246136', 'name': 'M. A. Malla'}, {'authorId': '2144065522', 'name': 'Anamika Dubey'}]",Open Microbiology Journal,d2d3f744-fc7d-42e8-9593-c8cfabdfd548,2019,51,10,0,False,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 'external'}]",,2019-05-31,"{'name': 'The Open Microbiology Journal', 'pages': None, 'volume': None}",,,2951167707,,,,10.2174/1874285801913010154
