affiliationID,affiliation
1,National College
2,Institute of Technology
3,Global University
4,National College
5,Institute of Technology
6,National College
7,University of XYZ
8,National College
9,University of XYZ
10,University of XYZ
11,University of XYZ
12,Institute of Technology
13,University of XYZ
14,University of XYZ
15,Institute of Technology
16,Global University
17,University of XYZ
18,National College
19,University of XYZ
20,National College
21,Institute of Technology
22,National College
23,Global University
24,Global University
25,University of XYZ
26,University of XYZ
27,National College
28,Institute of Technology
29,University of XYZ
30,National College
31,National College
32,Institute of Technology
33,University of XYZ
34,Institute of Technology
35,Global University
36,National College
37,National College
38,University of XYZ
39,Institute of Technology
40,Global University
41,Institute of Technology
42,University of XYZ
43,Institute of Technology
44,Institute of Technology
45,Institute of Technology
46,Institute of Technology
47,National College
48,National College
49,University of XYZ
50,National College
51,Institute of Technology
52,National College
53,Global University
54,Institute of Technology
55,University of XYZ
56,National College
57,National College
58,University of XYZ
59,Institute of Technology
60,Institute of Technology
61,University of XYZ
62,Global University
63,National College
64,Global University
65,Global University
66,Institute of Technology
67,Institute of Technology
68,University of XYZ
69,Global University
70,National College
71,National College
72,Institute of Technology
73,Institute of Technology
74,Global University
75,University of XYZ
76,University of XYZ
